family_id,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,christ_eve,n_ppl,difficulty
0,1,1,1,1,1,1,0,0,1,0,0,4,27
1,1,1,1,1,1,1,1,0,1,1,0,4,42
2,0,1,1,1,0,1,1,1,1,1,0,3,44
3,0,1,1,1,1,0,1,1,0,1,0,2,34
4,1,1,1,0,1,1,1,0,0,1,0,4,31
5,1,1,1,1,1,1,0,0,1,0,0,4,27
6,1,1,1,1,0,1,1,0,0,0,0,2,19
7,1,1,1,0,1,1,1,0,1,1,0,5,40
8,1,1,1,1,1,1,0,1,1,1,0,4,43
9,1,1,1,0,1,1,1,1,1,0,1,7,44
10,1,0,0,1,1,1,0,0,1,1,0,7,36
11,1,1,1,0,0,1,1,1,0,1,0,7,37
12,1,0,1,1,1,1,1,1,0,1,0,6,42
13,1,1,1,1,1,1,1,1,1,0,0,2,38
14,1,1,0,1,1,0,1,1,1,0,0,2,31
15,0,1,1,1,1,0,1,1,1,1,0,2,42
16,1,0,1,1,1,1,0,0,1,1,0,3,34
17,1,1,1,1,1,1,0,1,1,1,0,4,43
18,1,1,1,1,1,0,1,1,1,1,0,3,43
19,1,1,1,1,0,1,0,0,0,0,0,2,13
20,1,1,1,1,1,1,1,1,1,1,0,6,51
21,0,1,1,0,1,1,1,1,1,1,0,5,47
22,1,1,1,1,1,1,0,1,1,0,0,6,36
23,1,1,1,1,1,1,1,1,1,0,0,3,39
24,1,1,1,1,1,1,1,1,0,1,0,6,43
25,0,1,1,1,1,0,1,1,1,1,0,3,43
26,0,1,1,1,1,0,1,1,0,0,0,2,25
27,1,1,1,0,1,1,0,1,0,1,0,4,32
28,1,0,1,0,1,1,1,0,0,1,0,5,31
29,1,0,1,1,1,1,1,1,1,1,0,4,48
30,1,1,0,1,1,0,1,1,1,1,0,3,41
31,1,0,1,1,1,0,1,0,1,0,0,3,26
32,1,1,0,1,1,0,0,1,1,0,0,3,26
33,1,1,1,1,1,1,0,0,1,1,0,3,35
34,1,1,1,1,0,1,1,1,1,1,0,3,44
35,1,1,0,1,1,1,1,0,0,1,0,3,31
36,1,1,1,1,1,1,1,1,1,1,0,6,51
37,0,1,1,1,1,1,0,0,0,1,0,2,26
38,0,1,1,1,1,1,1,1,0,0,0,5,33
39,1,0,1,0,1,0,1,1,1,1,0,4,40
40,1,1,1,0,1,1,1,1,0,1,0,6,40
41,1,1,0,1,0,1,1,1,0,1,0,8,39
42,1,1,1,1,1,1,1,1,1,0,0,8,44
43,1,1,0,1,0,1,1,0,1,0,0,2,25
44,0,1,1,1,1,1,1,1,1,1,0,2,47
45,1,1,1,0,1,0,1,1,1,1,0,4,41
46,0,1,1,1,1,1,1,1,1,1,0,3,48
47,1,1,1,1,0,1,1,1,0,1,0,4,37
48,1,1,0,1,1,1,1,0,1,1,0,4,40
49,1,1,1,1,1,1,0,1,1,1,0,2,41
50,1,0,0,1,1,0,1,0,1,1,0,6,36
51,0,1,1,1,1,0,1,1,1,1,0,2,42
52,1,1,0,0,1,1,1,1,1,0,0,2,33
53,0,0,1,1,1,1,1,0,1,1,0,4,41
54,1,0,1,1,1,0,1,1,0,0,0,3,25
55,0,0,0,1,1,0,1,1,0,1,0,3,32
56,1,1,1,1,1,0,1,1,0,1,0,5,37
57,1,1,1,1,1,0,1,1,1,1,0,4,44
58,1,1,1,1,1,1,1,0,1,1,0,4,42
59,1,0,1,0,1,1,0,1,1,0,0,4,30
60,1,0,1,0,1,1,0,0,0,1,1,2,26
61,1,0,1,1,0,1,1,1,1,1,0,4,44
62,1,1,1,1,1,1,1,1,1,1,1,6,55
63,1,1,1,0,0,1,0,1,1,1,0,5,37
64,1,1,1,0,1,1,1,1,1,1,0,3,45
65,1,1,0,1,0,1,0,0,1,1,0,5,31
66,1,1,1,1,1,1,1,1,0,0,1,8,40
67,1,1,1,0,1,1,0,1,0,0,1,5,28
68,1,0,0,0,1,0,0,1,0,1,0,7,27
69,1,0,1,1,0,1,1,1,1,0,0,4,35
70,1,1,1,1,0,0,1,1,0,0,0,3,22
71,1,1,0,1,0,0,0,0,0,1,0,4,17
72,1,1,1,0,1,0,1,1,0,1,0,3,32
73,1,1,1,0,0,1,1,1,0,0,0,3,24
74,1,0,1,1,1,1,0,0,1,1,0,4,35
75,1,1,0,1,1,0,0,0,1,0,0,4,20
76,1,0,0,1,1,1,1,1,1,1,0,4,46
77,0,1,1,0,0,1,1,1,0,1,0,4,34
78,1,1,1,1,1,1,1,1,0,0,0,5,33
79,1,0,1,1,0,1,1,0,1,0,1,7,35
80,1,1,1,1,1,1,1,1,1,0,0,2,38
81,1,1,1,1,1,1,0,1,1,1,0,4,43
82,1,0,1,1,1,0,1,1,1,0,0,4,34
83,1,1,0,1,1,1,1,1,1,1,0,2,45
84,0,0,1,1,0,0,1,1,1,1,0,6,41
85,1,1,0,1,0,0,1,1,0,1,0,3,29
86,0,1,1,1,0,1,0,0,1,1,0,3,31
87,1,1,1,1,0,1,1,0,1,1,0,2,36
88,0,1,0,0,1,1,1,1,1,1,0,4,44
89,0,1,1,1,0,1,1,0,1,1,0,2,36
90,1,1,1,1,1,1,1,1,1,1,0,6,51
91,1,1,1,1,1,0,1,1,1,0,0,4,35
92,0,1,1,0,1,1,0,1,1,1,0,2,38
93,1,1,1,1,1,1,0,0,1,1,0,3,35
94,1,1,1,1,1,1,0,1,1,0,0,3,33
95,1,1,1,1,1,1,1,1,0,1,0,4,41
96,1,1,1,1,0,0,0,1,1,0,0,6,27
97,1,1,0,1,0,1,0,0,0,1,0,4,22
98,1,1,1,1,1,1,1,0,1,1,0,4,42
99,1,0,1,1,1,0,1,1,1,1,0,3,42
100,1,1,1,1,1,1,1,1,0,0,0,6,34
101,1,1,1,0,0,1,1,1,0,1,0,2,32
102,1,0,0,1,1,1,1,1,1,0,0,7,40
103,1,1,1,1,1,1,1,1,1,1,0,7,52
104,1,1,1,1,1,1,1,1,1,0,0,2,38
105,1,1,1,1,0,1,0,0,0,1,0,4,24
106,0,0,1,1,1,1,0,1,0,1,0,4,34
107,1,0,1,1,1,1,1,0,1,1,0,3,40
108,0,1,0,1,1,0,0,1,0,1,0,5,29
109,1,1,1,0,1,0,0,1,1,0,0,5,27
110,1,0,1,0,0,0,1,0,1,1,0,6,31
111,1,1,0,1,1,0,1,1,1,0,0,4,33
112,1,0,1,1,0,0,0,1,1,1,0,3,32
113,1,0,0,1,1,1,1,1,1,0,0,4,37
114,0,0,0,1,0,0,1,1,0,1,0,6,31
115,0,1,1,0,1,0,1,1,1,1,0,4,41
116,0,0,1,1,1,0,1,1,0,1,0,4,35
117,1,1,1,1,0,1,0,0,1,1,0,6,34
118,0,1,0,1,1,0,1,1,1,1,0,4,42
119,1,1,1,1,1,1,1,1,1,1,0,4,49
120,0,1,1,0,0,1,0,1,0,1,0,4,28
121,1,1,1,1,1,1,0,1,0,1,0,3,34
122,1,1,0,1,1,1,0,1,1,0,0,6,34
123,1,0,1,1,1,1,1,0,1,1,0,4,41
