family_id,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people,difficulty,esperance
0,52,38,12,82,33,75,64,76,10,28,4,27,38.58105984859306
1,26,4,82,5,11,47,38,6,66,61,4,42,53.62938627815074
2,100,54,25,12,27,82,10,89,80,33,3,44,53.32614388420701
3,2,95,1,96,32,6,40,31,9,59,2,34,41.02842451078417
4,53,1,47,93,26,3,46,16,42,39,4,31,52.555634909298675
5,32,59,12,3,60,26,35,50,5,2,4,27,36.59820025710613
6,88,4,1,3,91,32,39,57,28,99,2,19,25.667190401371233
7,25,11,52,48,10,17,88,50,95,66,5,40,56.11603104318431
8,18,60,1,12,89,33,16,10,53,67,4,43,60.39622911012712
9,1,88,39,50,26,18,96,47,46,28,7,44,61.265771556444314
10,96,92,8,5,67,12,57,34,80,46,7,36,57.0069037756511
11,19,75,39,44,2,68,53,89,7,94,7,37,63.47521782602485
12,52,98,53,1,39,67,87,24,65,95,6,42,64.48183592820074
13,54,52,25,53,1,60,10,12,11,57,2,38,47.010617530828924
14,45,25,34,38,88,16,1,4,89,29,2,31,44.21863543303337
15,22,4,82,10,5,58,75,1,18,94,2,42,55.2142074941675
16,46,50,1,17,52,74,7,21,38,25,3,34,49.41513117173737
17,47,52,74,5,4,40,79,61,10,17,4,43,57.96410036661429
18,75,87,74,38,52,13,10,4,81,68,3,43,44.80088558777317
19,3,12,5,1,7,26,49,44,97,100,2,13,22.496024377469883
20,3,88,17,68,32,73,25,1,59,74,6,51,80.807884587916
21,56,1,45,69,31,4,80,38,81,12,5,47,63.17645098319288
22,61,33,1,82,60,10,92,17,73,22,6,36,54.57715564443175
23,19,82,18,73,11,68,3,94,59,16,3,39,42.79541017949816
24,75,95,24,4,38,52,3,1,28,5,6,43,92.75455887254202
25,16,11,12,53,3,98,25,61,19,18,3,43,50.83664238442128
26,58,95,4,25,66,62,53,94,14,8,2,25,30.998524020378042
27,38,95,1,43,88,39,9,4,65,74,4,32,44.09541494072275
28,81,27,54,21,45,67,33,2,7,53,5,31,62.637956482407276
29,89,8,1,82,80,67,54,11,26,74,4,48,55.870209017759365
30,68,53,57,52,75,44,47,5,45,38,3,41,47.19273437128029
31,74,7,82,59,68,57,3,9,24,51,3,26,37.882683426177216
32,24,75,15,53,45,28,29,10,25,91,3,26,35.20897014712184
33,32,96,1,54,4,61,97,44,66,19,3,35,53.82231109841452
34,46,52,40,17,15,67,59,18,33,47,3,44,50.962576774746466
35,31,87,98,61,19,88,95,65,23,45,3,31,39.80274246536209
36,47,33,82,4,1,10,52,26,54,25,6,51,85.4098938246917
37,15,81,82,87,88,74,8,34,51,47,2,26,30.030947959815265
38,13,68,1,26,47,3,66,46,21,36,5,33,46.734276055801544
39,10,9,59,35,1,90,81,96,18,12,4,40,61.70880350426129
40,25,81,82,8,73,31,24,52,7,11,6,40,69.28553063848021
41,31,5,92,45,35,59,32,17,14,66,8,39,70.40851306956151
42,81,89,45,12,80,5,94,1,17,20,8,44,84.89406275294006
43,11,1,7,40,15,12,4,55,26,49,2,25,36.22292053516164
44,49,1,32,45,46,82,24,60,89,10,2,47,42.570870827976954
45,5,82,46,55,81,48,60,33,94,17,4,41,51.349235823453796
46,15,88,67,52,82,10,1,26,39,96,3,48,59.48155025472551
47,45,19,1,38,27,94,66,80,35,68,4,37,45.01709279626721
48,32,5,21,54,52,53,1,79,75,25,4,40,66.40632290625149
49,33,45,4,17,54,88,55,40,82,3,2,41,38.741894015140694
50,67,50,43,5,95,56,54,29,87,11,6,36,58.444698376422416
51,28,26,67,75,54,23,39,52,95,32,2,42,42.08817787935057
52,33,53,76,70,81,10,4,26,47,13,2,33,40.70637527972195
53,37,22,1,66,12,89,5,29,95,25,4,41,61.75108317859354
54,94,69,73,25,26,49,39,80,27,70,3,25,29.395562538684956
55,91,2,6,54,45,16,89,59,41,74,3,32,39.94067514164644
56,12,1,80,10,75,49,11,82,84,89,5,37,49.327715088320716
57,31,1,95,32,82,92,74,38,4,75,4,44,53.18621149359615
58,74,32,61,39,80,26,59,84,88,1,4,42,84.42717706994239
59,39,15,5,27,25,88,13,45,82,30,4,30,32.39661000809408
60,1,98,88,28,54,17,97,79,9,31,2,26,34.9717659381993
61,18,15,19,96,28,59,17,54,3,80,4,44,54.449554825501124
62,1,39,68,33,82,40,89,24,31,66,6,55,69.16059610531829
