family_id,assigned_day
0,82
1,21
2,63
3,2
4,53
5,0
6,0
7,25
8,79
9,88
10,96
11,19
12,52
13,63
14,45
15,97
16,46
17,83
18,97
19,0
20,3
21,56
22,61
23,85
24,75
25,98
26,58
27,38
28,81
29,62
30,77
31,74
32,15
33,32
34,100
35,87
36,47
37,15
38,13
39,64
40,25
41,31
42,81
43,7
44,92
45,97
46,98
47,3
48,69
49,76
50,67
51,99
52,53
53,98
54,94
55,91
56,12
57,62
58,41
59,15
60,98
61,63
62,1
63,31
64,76
65,47
66,66
67,94
68,85
69,5
70,0
71,71
72,66
73,22
74,82
75,16
76,77
77,20
78,52
79,37
80,65
81,84
82,32
83,79
84,9
85,54
86,29
87,97
88,65
89,98
90,54
91,17
92,70
93,5
94,47
95,37
96,0
97,48
98,43
99,83
100,39
101,53
102,31
103,68
104,76
105,0
106,34
107,77
108,34
109,95
110,67
111,68
112,60
113,49
114,15
115,99
116,77
117,94
118,44
119,78
120,56
121,17
122,24
123,36
124,14
125,58
126,3
127,2
128,56
129,43
130,16
131,60
132,79
133,54
134,18
135,5
136,79
137,99
138,59
139,77
140,61
141,62
142,91
143,91
144,85
145,18
146,64
147,28
148,63
149,90
150,79
151,95
152,70
153,76
154,57
155,100
156,95
157,61
158,13
159,55
160,28
161,63
162,68
163,86
164,18
165,33
166,14
167,93
168,69
169,67
170,12
171,49
172,21
173,83
174,94
175,89
176,52
177,86
178,63
179,26
180,40
181,7
182,62
183,10
184,4
185,63
186,63
187,76
188,10
189,92
190,64
191,97
192,77
193,35
194,95
195,77
196,26
197,44
198,81
199,51
200,79
201,47
202,23
203,91
204,49
205,100
206,98
207,47
208,95
209,9
210,41
211,83
212,79
213,52
214,65
215,92
216,43
217,5
218,38
219,68
220,65
221,17
222,36
223,60
224,66
225,83
226,64
227,49
228,87
229,48
230,70
231,48
232,79
233,84
234,70
235,53
236,37
237,3
238,19
239,97
240,57
241,60
242,60
243,89
244,39
245,13
246,50
247,66
248,33
249,83
250,1
251,75
252,18
253,84
254,28
255,94
256,71
257,0
258,84
259,60
260,25
261,67
262,18
263,84
264,11
265,11
266,7
267,74
268,39
269,30
270,41
271,73
272,43
273,83
274,8
275,15
276,93
277,99
278,78
279,38
280,89
281,22
282,62
283,73
284,20
285,66
286,54
287,69
288,63
289,99
290,25
291,80
292,0
293,23
294,46
295,10
296,50
297,62
298,50
299,84
300,50
301,45
302,0
303,86
304,86
305,58
306,2
307,92
308,47
309,19
310,55
311,8
312,43
313,37
314,98
315,0
316,53
317,88
318,50
319,10
320,7
321,0
322,82
323,48
324,83
325,3
326,22
327,46
328,99
329,86
330,77
331,57
332,82
333,23
334,22
335,84
336,72
337,65
338,92
339,45
340,52
341,86
342,54
343,89
344,23
345,66
346,93
347,76
348,1
349,90
350,96
351,27
352,93
353,79
354,87
355,85
356,6
357,25
358,88
359,90
360,77
361,87
362,0
363,12
364,64
365,53
366,3
367,53
368,93
369,72
370,13
371,26
372,96
373,61
374,93
375,79
376,26
377,82
378,53
379,4
380,73
381,27
382,48
383,40
384,86
385,29
386,66
387,39
388,65
389,49
390,26
391,75
392,60
393,100
394,50
395,8
396,79
397,52
398,37
399,5
400,64
401,52
402,72
403,0
404,48
405,0
406,0
407,13
408,70
409,0
410,2
411,74
412,25
413,80
414,26
415,13
416,41
417,10
418,28
419,26
420,60
421,36
422,27
423,74
424,82
425,97
426,33
427,91
428,40
429,2
430,66
431,15
432,28
433,61
434,62
435,80
436,57
437,38
438,86
439,18
440,74
441,8
442,29
443,14
444,70
445,74
446,48
447,30
448,99
449,92
450,64
451,83
452,42
453,51
454,0
455,64
456,94
457,98
458,13
459,22
460,30
461,27
462,80
463,18
464,46
465,46
466,54
467,7
468,54
469,93
470,17
471,84
472,76
473,56
474,22
475,33
476,54
477,60
478,7
479,34
480,78
481,13
482,83
483,78
484,93
485,30
486,11
487,21
488,7
489,84
490,63
491,73
492,95
493,16
494,95
495,56
496,56
497,16
498,45
499,15
500,27
501,21
502,56
503,22
504,81
505,83
506,38
507,47
508,35
509,37
510,64
511,43
512,58
513,64
514,0
515,71
516,17
517,0
518,16
519,24
520,4
521,68
522,32
523,4
524,36
525,98
526,68
527,16
528,68
529,25
530,61
531,45
532,4
533,26
534,14
535,12
536,91
537,23
538,83
539,79
540,62
541,60
542,22
543,53
544,17
545,81
546,57
547,60
548,22
549,44
550,73
551,56
552,35
553,35
554,53
555,10
556,26
557,16
558,20
559,47
560,93
561,83
562,89
563,47
564,82
565,91
566,92
567,96
568,80
569,25
570,97
571,3
572,10
573,72
574,88
575,44
576,100
577,77
578,1
579,11
580,49
581,42
582,93
583,35
584,70
585,76
586,67
587,40
588,51
589,34
590,5
591,55
592,40
593,23
594,61
595,100
596,55
597,81
598,70
599,43
600,15
601,2
602,88
603,58
604,15
605,87
606,81
607,70
608,94
609,94
610,51
611,98
612,98
613,96
614,79
615,58
616,99
617,80
618,2
619,42
620,52
621,6
622,99
623,75
624,78
625,51
626,57
627,3
628,23
629,98
630,95
631,63
632,58
633,10
634,16
635,30
636,80
637,13
638,16
639,30
640,43
641,35
642,73
643,12
644,76
645,10
646,48
647,57
648,38
649,65
650,63
651,46
652,64
653,77
654,10
655,0
656,68
657,48
658,93
659,99
660,54
661,31
662,78
663,93
664,62
665,60
666,79
667,0
668,61
669,69
670,30
671,44
672,44
673,87
674,83
675,61
676,44
677,16
678,69
679,23
680,27
681,37
682,100
683,36
684,65
685,65
686,18
687,51
688,70
689,67
690,38
691,8
692,13
693,8
694,96
695,78
696,85
697,93
698,68
699,35
700,14
701,93
702,7
703,66
704,60
705,14
706,65
707,16
708,46
709,39
710,39
711,14
712,36
713,25
714,76
715,33
716,49
717,66
718,31
719,32
720,8
721,71
722,62
723,92
724,81
725,69
726,62
727,76
728,10
729,32
730,20
731,68
732,65
733,50
734,8
735,17
736,12
737,68
738,50
739,72
740,70
741,14
742,99
743,76
744,41
745,8
746,64
747,76
748,71
749,93
750,96
751,54
752,4
753,30
754,36
755,12
756,70
757,65
758,22
759,84
760,23
761,77
762,72
763,79
764,4
765,32
766,100
767,82
768,87
769,44
770,25
771,45
772,76
773,2
774,70
775,79
776,48
777,92
778,56
779,90
780,77
781,21
782,67
783,69
784,0
785,73
786,96
787,6
788,15
789,1
790,34
791,30
792,88
793,100
794,99
795,30
796,18
797,71
798,45
799,3
800,57
801,6
802,83
803,41
804,57
805,76
806,49
807,30
808,97
809,2
810,77
811,75
812,95
813,78
814,27
815,100
816,14
817,28
818,4
819,32
820,90
821,36
822,34
823,93
824,60
825,89
826,76
827,77
828,36
829,70
830,84
831,8
832,86
833,93
834,64
835,8
836,13
837,73
838,94
839,91
840,24
841,10
842,69
843,88
844,55
845,5
846,47
847,95
848,85
849,50
850,57
851,100
852,82
853,92
854,65
855,84
856,55
857,11
858,70
859,9
860,55
861,57
862,59
863,82
864,9
865,19
866,48
867,86
868,33
869,93
870,53
871,94
872,3
873,5
874,23
875,22
876,5
877,49
878,4
879,65
880,53
881,100
882,47
883,69
884,56
885,79
886,81
887,97
888,93
889,99
890,65
891,100
892,93
893,63
894,78
895,11
896,29
897,67
898,100
899,81
900,14
901,7
902,0
903,19
904,82
905,79
906,0
907,34
908,95
909,43
910,69
911,10
912,68
913,59
914,94
915,55
916,81
917,0
918,55
919,68
920,35
921,20
922,21
923,96
924,100
925,71
926,33
927,37
928,86
929,64
930,41
931,35
932,65
933,0
934,38
935,8
936,79
937,11
938,46
939,45
940,31
941,23
942,57
943,82
944,62
945,74
946,72
947,28
948,38
949,86
950,20
951,62
952,54
953,46
954,80
955,58
956,66
957,16
958,24
959,42
960,43
961,53
962,44
963,63
964,64
965,61
966,59
967,40
968,2
969,75
970,63
971,13
972,90
973,71
974,63
975,69
976,55
977,54
978,34
979,4
980,58
981,12
982,91
983,96
984,2
985,44
986,82
987,87
988,86
989,100
990,50
991,75
992,54
993,46
994,39
995,35
996,57
997,83
998,0
999,63
1000,30
1001,25
1002,56
1003,97
1004,0
1005,31
1006,74
1007,12
1008,73
1009,42
1010,0
1011,24
1012,67
1013,11
1014,52
1015,9
1016,17
1017,73
1018,43
1019,44
1020,60
1021,75
1022,73
1023,71
1024,0
1025,71
1026,72
1027,57
1028,44
1029,41
1030,59
1031,94
1032,77
1033,100
1034,17
1035,2
1036,7
1037,66
1038,29
1039,66
1040,23
1041,96
1042,15
1043,16
1044,68
1045,44
1046,13
1047,15
1048,72
1049,0
1050,50
1051,78
1052,1
1053,30
1054,9
1055,64
1056,27
1057,72
1058,79
1059,65
1060,23
1061,36
1062,99
1063,87
1064,75
1065,76
1066,2
1067,75
1068,3
1069,98
1070,49
1071,94
1072,32
1073,32
1074,54
1075,33
1076,79
1077,14
1078,28
1079,61
1080,0
1081,25
1082,83
1083,50
1084,89
1085,75
1086,20
1087,22
1088,21
1089,72
1090,91
1091,56
1092,33
1093,52
1094,19
1095,19
1096,85
1097,55
1098,16
1099,59
1100,67
1101,68
1102,89
1103,74
1104,3
1105,2
1106,8
1107,75
1108,25
1109,5
1110,12
1111,100
1112,67
1113,18
1114,59
1115,31
1116,74
1117,7
1118,44
1119,97
1120,33
1121,97
1122,64
1123,51
1124,96
1125,78
1126,90
1127,64
1128,14
1129,32
1130,0
1131,24
1132,69
1133,0
1134,70
1135,67
1136,32
1137,3
1138,83
1139,42
1140,52
1141,87
1142,49
1143,44
1144,5
1145,53
1146,81
1147,47
1148,41
1149,99
1150,21
1151,76
1152,19
1153,17
1154,88
1155,75
1156,100
1157,15
1158,39
1159,17
1160,96
1161,0
1162,17
1163,18
1164,46
1165,84
1166,36
1167,61
1168,17
1169,50
1170,16
1171,80
1172,2
1173,88
1174,49
1175,60
1176,54
1177,89
1178,0
1179,69
1180,91
1181,56
1182,69
1183,0
1184,65
1185,35
1186,2
1187,75
1188,4
1189,94
1190,4
1191,75
1192,7
1193,48
1194,47
1195,43
1196,67
1197,37
1198,64
1199,16
1200,16
1201,11
1202,78
1203,100
1204,25
1205,55
1206,42
1207,76
1208,100
1209,74
1210,53
1211,92
1212,88
1213,50
1214,85
1215,94
1216,34
1217,11
1218,33
1219,39
1220,84
1221,80
1222,69
1223,58
1224,11
1225,92
1226,10
1227,18
1228,29
1229,21
1230,56
1231,87
1232,67
1233,45
1234,77
1235,64
1236,82
1237,43
1238,16
1239,50
1240,79
1241,65
1242,14
1243,58
1244,94
1245,5
1246,2
1247,81
1248,97
1249,39
1250,34
1251,57
1252,4
1253,99
1254,79
1255,89
1256,50
1257,88
1258,60
1259,83
1260,71
1261,34
1262,62
1263,91
1264,24
1265,83
1266,37
1267,23
1268,35
1269,1
1270,54
1271,95
1272,50
1273,27
1274,79
1275,5
1276,7
1277,49
1278,27
1279,57
1280,9
1281,76
1282,57
1283,29
1284,2
1285,38
1286,97
1287,91
1288,54
1289,70
1290,90
1291,76
1292,35
1293,91
1294,75
1295,22
1296,3
1297,96
1298,80
1299,0
1300,28
1301,41
1302,27
1303,70
1304,58
1305,5
1306,22
1307,60
1308,58
1309,64
1310,11
1311,56
1312,0
1313,93
1314,65
1315,46
1316,89
1317,42
1318,39
1319,43
1320,31
1321,79
1322,86
1323,96
1324,80
1325,23
1326,51
1327,14
1328,16
1329,12
1330,78
1331,11
1332,63
1333,64
1334,55
1335,35
1336,71
1337,78
1338,79
1339,86
1340,98
1341,54
1342,88
1343,34
1344,4
1345,0
1346,57
1347,92
1348,30
1349,97
1350,62
1351,98
1352,90
1353,29
1354,14
1355,0
1356,49
1357,72
1358,22
1359,16
1360,98
1361,2
1362,83
1363,19
1364,41
1365,100
1366,100
1367,64
1368,26
1369,93
1370,83
1371,85
1372,75
1373,49
1374,4
1375,41
1376,94
1377,18
1378,84
1379,37
1380,80
1381,52
1382,42
1383,29
1384,62
1385,87
1386,33
1387,5
1388,69
1389,74
1390,42
1391,74
1392,85
1393,98
1394,38
1395,66
1396,90
1397,2
1398,73
1399,76
1400,22
1401,10
1402,99
1403,87
1404,27
1405,77
1406,0
1407,44
1408,67
1409,95
1410,53
1411,54
1412,78
1413,1
1414,48
1415,65
1416,80
1417,83
1418,42
1419,99
1420,59
1421,23
1422,91
1423,2
1424,38
1425,64
1426,98
1427,32
1428,14
1429,31
1430,20
1431,49
1432,89
1433,79
1434,16
1435,68
1436,96
1437,86
1438,70
1439,69
1440,23
1441,0
1442,10
1443,92
1444,81
1445,46
1446,93
1447,11
1448,48
1449,51
1450,55
1451,64
1452,28
1453,34
1454,25
1455,58
1456,8
1457,88
1458,20
1459,53
1460,2
1461,58
1462,99
1463,56
1464,59
1465,87
1466,64
1467,20
1468,100
1469,88
1470,0
1471,3
1472,94
1473,84
1474,19
1475,94
1476,2
1477,47
1478,65
1479,88
1480,23
1481,80
1482,23
1483,85
1484,93
1485,67
1486,9
1487,74
1488,54
1489,100
1490,62
1491,97
1492,41
1493,41
1494,46
1495,8
1496,49
1497,55
1498,96
1499,86
1500,58
1501,69
1502,84
1503,93
1504,70
1505,66
1506,19
1507,69
1508,88
1509,32
1510,34
1511,12
1512,48
1513,100
1514,100
1515,77
1516,28
1517,59
1518,27
1519,83
1520,92
1521,20
1522,96
1523,93
1524,9
1525,21
1526,18
1527,47
1528,96
1529,2
1530,33
1531,83
1532,42
1533,66
1534,0
1535,76
1536,54
1537,64
1538,16
1539,43
1540,93
1541,71
1542,22
1543,65
1544,69
1545,80
1546,52
1547,72
1548,59
1549,82
1550,75
1551,7
1552,24
1553,84
1554,10
1555,85
1556,58
1557,39
1558,2
1559,29
1560,36
1561,0
1562,7
1563,6
1564,48
1565,69
1566,6
1567,37
1568,69
1569,77
1570,94
1571,91
1572,81
1573,28
1574,60
1575,71
1576,95
1577,31
1578,26
1579,0
1580,31
1581,84
1582,67
1583,77
1584,46
1585,28
1586,76
1587,99
1588,64
1589,22
1590,86
1591,27
1592,36
1593,66
1594,44
1595,50
1596,95
1597,50
1598,15
1599,87
1600,62
1601,100
1602,7
1603,7
1604,79
1605,70
1606,69
1607,59
1608,78
1609,20
1610,26
1611,1
1612,30
1613,69
1614,61
1615,88
1616,79
1617,52
1618,26
1619,71
1620,83
1621,71
1622,56
1623,14
1624,64
1625,100
1626,54
1627,62
1628,53
1629,42
1630,63
1631,99
1632,30
1633,78
1634,49
1635,95
1636,21
1637,67
1638,39
1639,83
1640,30
1641,92
1642,49
1643,0
1644,34
1645,36
1646,80
1647,68
1648,11
1649,6
1650,21
1651,63
1652,21
1653,14
1654,40
1655,68
1656,74
1657,6
1658,51
1659,86
1660,68
1661,39
1662,18
1663,19
1664,72
1665,36
1666,82
1667,53
1668,7
1669,8
1670,50
1671,87
1672,37
1673,72
1674,71
1675,69
1676,63
1677,27
1678,71
1679,26
1680,55
1681,33
1682,64
1683,7
1684,63
1685,73
1686,40
1687,92
1688,87
1689,70
1690,47
1691,4
1692,32
1693,64
1694,100
1695,84
1696,17
1697,83
1698,56
1699,12
1700,73
1701,52
1702,99
1703,44
1704,9
1705,66
1706,71
1707,73
1708,72
1709,56
1710,43
1711,34
1712,62
1713,54
1714,40
1715,17
1716,35
1717,10
1718,78
1719,23
1720,93
1721,69
1722,78
1723,29
1724,42
1725,31
1726,85
1727,95
1728,35
1729,46
1730,2
1731,15
1732,64
1733,0
1734,21
1735,70
1736,57
1737,17
1738,29
1739,0
1740,68
1741,27
1742,48
1743,5
1744,63
1745,74
1746,73
1747,72
1748,32
1749,64
1750,51
1751,52
1752,58
1753,1
1754,16
1755,66
1756,19
1757,65
1758,81
1759,27
1760,90
1761,25
1762,85
1763,84
1764,65
1765,22
1766,77
1767,36
1768,77
1769,24
1770,20
1771,45
1772,94
1773,61
1774,43
1775,26
1776,58
1777,71
1778,35
1779,29
1780,7
1781,28
1782,48
1783,86
1784,60
1785,17
1786,78
1787,64
1788,56
1789,23
1790,74
1791,27
1792,64
1793,78
